feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv,coefficient,log_odds_contribution,points
FLOORSMAX_MEDI,"(0.198, 0.344]",22546,1382,21164,0.12478038369474218,0.09279769096523023,0.2961335040053916,0.009471146865518134,0.035783042201775965,-0.09143117689631834,-0.02707583478964356,30
FLOORSMAX_MEDI,"(0.344, 0.469]",7579,417,7162,0.042228235876755456,0.028023895824942944,0.4100315253653856,0.005824227218253325,0.035783042201775965,-0.09143117689631834,-0.03748966492874981,31
FLOORSMAX_MEDI,"(0.469, inf]",4673,214,4459,0.0262920513636846,0.014397905759162303,0.6021839013714911,0.00716246300361181,0.035783042201775965,-0.09143117689631834,-0.05505838281041192,32
FLOORSMAX_MEDI,MISSING,91673,8384,83289,0.49105321494687937,0.5627936635790038,-0.13636056376411942,0.009782568020167344,0.035783042201775965,-0.09143117689631834,0.0124676068271989,27
FLOORSMAX_MODE,"(-inf, 0.0625]",11388,1041,10347,0.061005987106055204,0.06990636641272611,-0.13618471532165294,0.0012120956221337088,0.035052693625603246,-0.07168502924735687,0.00976240530087566,28
FLOORSMAX_MODE,"(0.0625, 0.146]",8490,689,7801,0.04599547798095092,0.04627982682820418,-0.006163073595633476,1.7524628724554098e-06,0.035052693625603246,-0.07168502924735687,0.0004418001109565986,28
FLOORSMAX_MODE,"(0.146, 0.188]",39490,2836,36654,0.21610475519486835,0.19038829412356947,0.1266976278506558,0.0032582146144473027,0.035052693625603246,-0.07168502924735687,-0.009082323158044997,29
FLOORSMAX_MODE,"(0.188, 0.354]",22099,1358,20741,0.12228612530178729,0.09118367620901432,0.2934876960699188,0.009128186126369873,0.035052693625603246,-0.07168502924735687,-0.021038674076511513,30
FLOORSMAX_MODE,"(0.354, 0.438]",5205,286,4919,0.029004006143342698,0.019230123837970264,0.4109559639075122,0.0040166352239229056,0.035052693625603246,-0.07168502924735687,-0.029459390292085746,30
FLOORSMAX_MODE,"(0.438, inf]",6161,301,5860,0.034551880882825466,0.020236936604356142,0.5349525087524811,0.007657815354419141,0.035052693625603246,-0.07168502924735687,-0.03834808623586854,31
FLOORSMAX_MODE,MISSING,91673,8384,83289,0.49105176739017004,0.5627747759841595,-0.13632995064093387,0.009777994221437856,0.035052693625603246,-0.07168502924735687,0.009772816498986063,28
TOTALAREA_MODE,"(-inf, 0.016]",11811,1083,10728,0.06325225732469807,0.07272544215860657,-0.13956046833479172,0.0013220821120423173,0.03425852266204915,-0.1546775218978802,0.021586867396933163,27
TOTALAREA_MODE,"(0.016, 0.0286]",5772,481,5291,0.03119721486075778,0.03231868980098668,-0.03531687094791481,3.96069857353845e-05,0.03425852266204915,-0.1546775218978802,0.005462726079410702,28
TOTALAREA_MODE,"(0.0286, 0.0857]",40894,2895,37999,0.22403450176724277,0.1943484243380206,0.14214751581786192,0.004219802160940631,0.03425852266204915,-0.1546775218978802,-0.02198702549064661,30
TOTALAREA_MODE,"(0.0857, 0.144]",15816,1057,14759,0.08701791415238673,0.07098030003020438,0.20371163307798112,0.00326704856350426,0.03425852266204915,-0.1546775218978802,-0.031509610586272364,30
TOTALAREA_MODE,"(0.144, 0.207]",9583,574,9009,0.053117510590191284,0.03856092895257912,0.3202670796345447,0.004661993890539886,0.03425852266204915,-0.1546775218978802,-0.04953811822334243,32
TOTALAREA_MODE,"(0.207, inf]",11663,622,11041,0.06509761842295322,0.04178272980501393,0.4434048735844938,0.010337935240273927,0.03425852266204915,-0.1546775218978802,-0.06858476704349234,33
