feature,coefficient,importance,importance_pct
DEBITCARD_1__last180dayaveragebalance_704A__MEAN,0.0013884414,0.0013884414,0.0007826607974243007
CREDIT_BUREAU_B_1__credquantity_1099L__MAX,0.0013112234,0.0013112234,0.0007391332121365747
APPLPREV_1__isbidproduct_390L__MEAN,-0.0012939316,0.0012939316,0.0007293858695574054
STATIC_0__actualdpdtolerance_344P,0.0012361952,0.0012361952,0.0006968400113998997
APPLPREV_1__actualdpd_943P__MAX,0.0012360122,0.0012360122,0.0006967368547769925
CREDIT_BUREAU_B_1__totalamount_503A__MAX,-0.0012073155,0.0012073155,0.0006805605998011282
DEPOSIT_1__contractenddate_991D__MAX_GAP,0.0009842741,0.0009842741,0.0005548327441043503
DEPOSIT_1__openingdate_313D__MAX_GAP,0.0009840823,0.0009840823,0.0005547246269443851
DEBITCARD_1__openingdate_857D__MAX_GAP,0.0009840723,0.0009840723,0.0005547189899704558
DEPOSIT_1__contractenddate_991D__MIN_GAP,0.0009837473,0.0009837473,0.0005545357883177516
PERSON_2__conts_role_79M__NUNIQUE,-0.0009765628,0.0009765628,0.0005504859043982035
CREDIT_BUREAU_A_2__pmts_month_158T__MEAN,-0.0009765626,0.0009765626,0.0005504857916587249
PERSON_2__empls_economicalst_849M__NUNIQUE,-0.0009765626,0.0009765626,0.0005504857916587249
OTHER_1__amtdebitincoming_4809443A__MEAN,-0.0009765625,0.0009765625,0.0005504857352889856
OTHER_1__amtdebitincoming_4809443A__MAX,-0.0009765625,0.0009765625,0.0005504857352889856
CREDIT_BUREAU_B_1__totalamount_503A__MEAN,-0.0009765625,0.0009765625,0.0005504857352889856
missingindicator_DEBITCARD_1__last180dayaveragebalance_704A__MAX,0.00095940934,0.00095940934,0.0005408165437163729
missingindicator_DEBITCARD_1__last180dayaveragebalance_704A__MEAN,0.00095940934,0.00095940934,0.0005408165437163729
STATIC_0__annuitynextmonth_57A,0.0009432755,0.0009432755,0.0005317219401703276
missingindicator_DEBITCARD_1__last30dayturnover_651A__MAX,0.0009236875,0.0009236875,0.0005206802356374988
missingindicator_DEBITCARD_1__last30dayturnover_651A__MEAN,0.0009236875,0.0009236875,0.0005206802356374988
missingindicator_DEBITCARD_1__last180dayturnover_1134A__MAX,0.0009236875,0.0009236875,0.0005206802356374988
missingindicator_DEBITCARD_1__last180dayturnover_1134A__MEAN,0.0009236875,0.0009236875,0.0005206802356374988
OTHER_1__amtdebitoutgoing_4809440A__MEAN,-0.0008454269,0.0008454269,0.00047656493944789785
OTHER_1__amtdebitoutgoing_4809440A__MAX,-0.0008454269,0.0008454269,0.00047656493944789785
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,-0.00083439104,0.00083439104,0.000470344053937092
CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,-0.0006942743,0.0006942743,0.00039136061289241173
CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,-0.0006942743,0.0006942743,0.00039136061289241173
CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,-0.00069340464,0.00069340464,0.0003908703878176711
OTHER_1__amtdepositincoming_4809444A__MAX,-0.00060722686,0.00060722686,0.00034229219790266567
