feature,WEEK_NUM,iv,iv_cv
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,30,0.4274743318791387,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,31,0.4908694131842517,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,32,0.45537055722923314,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,33,0.34346116209205746,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,34,0.41292518887289525,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,35,0.4513662895279356,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,36,0.38662299769355496,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,37,0.40236185819863896,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,38,0.3806487359918783,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,39,0.4224629304470042,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,40,0.4042698026203644,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,41,0.4374422068140391,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,42,0.43639643345608764,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,43,0.4122943382269598,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,44,0.4081939762208387,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,45,0.3130216050311152,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,46,0.30857351130174066,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,47,0.43754682537432815,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,48,0.3136166464702656,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,49,0.43551129846844594,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,50,0.3081514628061055,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,51,0.40802020198268213,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,52,0.3420371795712913,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,53,0.4345420203295454,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,54,0.37920359099298356,0.7618306290545118
STATIC_0__credamount_770A,0,0.031394289542485875,0.6102080054268902
STATIC_0__credamount_770A,1,0.02741443747669315,0.6102080054268902
STATIC_0__credamount_770A,2,0.021794366233479707,0.6102080054268902
STATIC_0__credamount_770A,3,0.014034827437397033,0.6102080054268902
STATIC_0__credamount_770A,4,0.008956537683973262,0.6102080054268902
STATIC_0__credamount_770A,5,0.025283709203034126,0.6102080054268902
STATIC_0__credamount_770A,6,0.005487698387956342,0.6102080054268902
STATIC_0__credamount_770A,7,0.02006018181145865,0.6102080054268902
STATIC_0__credamount_770A,8,0.005339625018631966,0.6102080054268902
STATIC_0__credamount_770A,9,0.032101510798184955,0.6102080054268902
STATIC_0__credamount_770A,10,0.0060429508764760975,0.6102080054268902
STATIC_0__credamount_770A,11,0.008005493734267476,0.6102080054268902
STATIC_0__credamount_770A,12,0.027519019977960323,0.6102080054268902
STATIC_0__credamount_770A,13,0.021520493152068793,0.6102080054268902
STATIC_0__credamount_770A,14,0.019255059197859404,0.6102080054268902
STATIC_0__credamount_770A,15,0.0031821012056925083,0.6102080054268902
STATIC_0__credamount_770A,16,0.004198150585699853,0.6102080054268902
STATIC_0__credamount_770A,17,0.0025715494377214266,0.6102080054268902
STATIC_0__credamount_770A,18,0.01646906626842274,0.6102080054268902
STATIC_0__credamount_770A,19,0.006705522465734969,0.6102080054268902
STATIC_0__credamount_770A,20,0.029139908798984565,0.6102080054268902
STATIC_0__credamount_770A,21,0.005779307139568276,0.6102080054268902
STATIC_0__credamount_770A,22,0.037533005738023956,0.6102080054268902
STATIC_0__credamount_770A,23,0.013298064610103555,0.6102080054268902
STATIC_0__credamount_770A,24,0.023808362075274488,0.6102080054268902
STATIC_0__credamount_770A,25,0.009462883893786094,0.6102080054268902
STATIC_0__credamount_770A,26,0.009862935754404903,0.6102080054268902
STATIC_0__credamount_770A,27,0.02387881076391761,0.6102080054268902
STATIC_0__credamount_770A,28,0.027231450594043007,0.6102080054268902
STATIC_0__credamount_770A,29,0.041576620861332236,0.6102080054268902
STATIC_0__credamount_770A,30,0.013299907617928248,0.6102080054268902
STATIC_0__credamount_770A,31,0.03365629105810773,0.6102080054268902
STATIC_0__credamount_770A,32,0.04411203445475681,0.6102080054268902
STATIC_0__credamount_770A,33,0.029923714417672703,0.6102080054268902
STATIC_0__credamount_770A,34,0.028689217351119848,0.6102080054268902
STATIC_0__credamount_770A,35,0.03275173216704397,0.6102080054268902
STATIC_0__credamount_770A,36,0.012608466855847983,0.6102080054268902
STATIC_0__credamount_770A,37,0.016671256291683027,0.6102080054268902
STATIC_0__credamount_770A,38,0.012192315820368673,0.6102080054268902
STATIC_0__credamount_770A,39,0.032473535531774414,0.6102080054268902
STATIC_0__credamount_770A,40,0.0397311509418023,0.6102080054268902
STATIC_0__credamount_770A,41,0.02603643345590545,0.6102080054268902
STATIC_0__credamount_770A,42,0.0037112264367188323,0.6102080054268902
STATIC_0__credamount_770A,43,0.03207642033731928,0.6102080054268902
STATIC_0__credamount_770A,44,0.0354053141636126,0.6102080054268902
STATIC_0__credamount_770A,45,0.05434077133257114,0.6102080054268902
STATIC_0__credamount_770A,46,0.0325523504168231,0.6102080054268902
STATIC_0__credamount_770A,47,0.05693639912019875,0.6102080054268902
STATIC_0__credamount_770A,48,0.044153352972825785,0.6102080054268902
STATIC_0__credamount_770A,49,0.05007285212915295,0.6102080054268902
STATIC_0__credamount_770A,50,0.05431154801454271,0.6102080054268902
STATIC_0__credamount_770A,51,0.05055578467987353,0.6102080054268902
STATIC_0__credamount_770A,52,0.0402823955356303,0.6102080054268902
STATIC_0__credamount_770A,53,0.05913968422725989,0.6102080054268902
STATIC_0__credamount_770A,54,0.047373419221935706,0.6102080054268902
APPLPREV_1__creationdate_885D__MIN_GAP,0,0.11396217036341279,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,1,0.06023884638884201,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,2,0.0637602390997783,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,3,0.03327659572592875,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,4,0.018860376393668974,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,5,0.027147780265581255,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,6,0.08131067918504281,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,7,0.04285469123591193,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,8,0.03273907191662164,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,9,0.023874500098455636,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,10,0.051398542863264826,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,11,0.10107099407968186,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,12,0.041496813067800155,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,13,0.06655720523516687,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,14,0.07113501689480921,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,15,0.06899001366746586,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,16,0.055139502225161674,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,17,0.0912179193347453,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,18,0.08838122010367758,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,19,0.07195548851446575,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,20,0.0651494808287881,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,21,0.06994680367419688,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,22,0.09354903991946555,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,23,0.12908685633611455,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,24,0.08756001823855686,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,25,0.07361618241306295,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,26,0.0996262809127231,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,27,0.12828149339831146,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,28,0.1276180754136118,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,29,0.0938780799325537,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,30,0.08433315933682017,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,31,0.0919350093153913,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,32,0.14251440022380318,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,33,0.0966089986731974,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,34,0.044914490024200324,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,35,0.030271468022713622,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,36,0.0590183766325862,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,37,0.08829435640952969,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,38,0.10320235337078969,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,39,0.08938979044434116,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,40,0.08124784797715744,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,41,0.06063088442553963,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,42,0.07632925982585904,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,43,0.10574683503042973,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,44,0.08970224643491279,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,45,0.11023606567290781,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,46,0.09061794700771868,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,47,0.1802861449494337,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,48,0.046901107888866894,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,49,0.1075507658393679,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,50,0.07932955405120046,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,51,0.08832532273345309,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,52,0.09028109370420348,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,53,0.1725656723417457,0.4109818302481733
APPLPREV_1__creationdate_885D__MIN_GAP,54,0.09471063734080422,0.4109818302481733
STATIC_0__annuity_780A,0,0.011092011360754604,0.7615067855721935
STATIC_0__annuity_780A,1,0.031321769995838425,0.7615067855721935
STATIC_0__annuity_780A,2,0.0013194131647372522,0.7615067855721935
